name,n,year
BEHAVIOR,0.23,7/1/2020
DERMATOLOGY,0.23,4/1/2021
COMP AVIAN,0.23,9/1/2021
BIOLOGICAL MEDIA SERVICES,0.22,3/1/2020
BIOLOGICAL MEDIA SERVICES,0.22,6/1/2020
COMMUNITY SURGERY,0.22,7/1/2020
COMMUNITY SURGERY,0.22,5/1/2021
CLINICAL LABORATORIES,0.22,10/1/2021
CLIENT SERVICES,0.21,3/1/2020
DERMATOLOGY,0.21,3/1/2020
SA MEDICINE,0.21,4/1/2020
BIOLOGICAL MEDIA SERVICES,0.21,5/1/2020
BIOLOGICAL MEDIA SERVICES,0.21,1/1/2021
LA FEED & BEDDING,0.21,4/1/2021
ADMINISTRATION OVERHEAD,0.21,5/1/2021
OPHTHALMOLOGY,0.21,8/1/2021
PHARMACY,0.21,8/1/2021
LA FEED & BEDDING,0.20,3/1/2020
LA FEED & BEDDING,0.20,6/1/2020
PERSONNEL/PAYROLL,0.20,7/1/2020
SA INTEGRATIVE MEDICINE,0.20,8/1/2020
SA INTEGRATIVE MEDICINE,0.20,10/1/2020
SA SX SUPPORT,0.20,4/1/2021
SA CARDIOLOGY,0.20,5/1/2021
SA SX SUPPORT,0.19,3/1/2020
RADIOLOGY,0.19,3/1/2020
PHARMACY,0.19,4/1/2020
NEURO,0.19,5/1/2020
LA FEED & BEDDING,0.19,8/1/2020
BIOLOGICAL MEDIA SERVICES,0.19,9/1/2020
FINANCIAL SERVICES,0.19,12/1/2020
LA FEED & BEDDING,0.19,3/1/2021
CENTRAL SERVICE,0.19,6/1/2021
CLINICAL LABORATORIES,0.19,7/1/2021
SMALL ANIMAL PATIENT CARE,0.18,3/1/2020
LIVESTOCK,0.18,4/1/2020
CLIENT SERVICES,0.18,5/1/2020
CLIENT SERVICES,0.18,6/1/2020
SA ULTRASOUND,0.18,9/1/2020
COMMUNITY SURGERY,0.18,10/1/2020
SA ULTRASOUND,0.18,10/1/2020
CLIENT SERVICES,0.18,10/1/2020
SA ULTRASOUND,0.18,12/1/2020
CENTRAL SERVICE,0.18,12/1/2020
CLIENT SERVICES,0.18,12/1/2020
CENTRAL SERVICE,0.18,5/1/2021
DENTISTRY,0.18,6/1/2021
CLINICAL LABORATORIES,0.18,8/1/2021
CLINICAL LABORATORIES,0.18,12/1/2021
NEURO,0.17,3/1/2020
OPHTHALMOLOGY,0.17,3/1/2020
ANESTHESIA,0.17,3/1/2020
CLINICAL LABORATORIES,0.17,3/1/2020
SA INTEGRATIVE MEDICINE,0.17,7/1/2020
CLINICAL LABORATORIES,0.17,7/1/2020
SA ULTRASOUND,0.17,7/1/2020
CLIENT SERVICES,0.17,8/1/2020
BIOLOGICAL MEDIA SERVICES,0.17,10/1/2020
SA SX SUPPORT,0.17,5/1/2021
LA FEED & BEDDING,0.17,5/1/2021
ORTHOPEDIC SURGERY,0.17,7/1/2021
RADIOLOGY,0.17,10/1/2021
SA CARDIOLOGY,0.16,3/1/2020
SA ICU,0.16,4/1/2020
PATHOLOGY,0.16,4/1/2020
SA ULTRASOUND,0.16,6/1/2020
SA MEDICINE,0.16,7/1/2020
COMMUNITY SURGERY,0.16,9/1/2020
SA CARDIOLOGY,0.16,12/1/2020
NEURO,0.16,12/1/2020
ORTHOPEDIC SURGERY,0.16,12/1/2020
ANESTHESIA,0.16,12/1/2020
CLIENT SERVICES,0.16,1/1/2021
COMMUNITY SURGERY,0.16,4/1/2021
SA SX SUPPORT,0.16,6/1/2021
CENTRAL SERVICE,0.16,7/1/2021
COMP AVIAN,0.16,8/1/2021
RADIOLOGY,0.16,9/1/2021
LA FEED & BEDDING,0.15,2/1/2020
COMP AVIAN,0.15,4/1/2020
CENTRAL SERVICE,0.15,5/1/2020
ANESTHESIA,0.15,7/1/2020
CLIENT SERVICES,0.15,7/1/2020
SA CARDIOLOGY,0.15,8/1/2020
ANESTHESIA,0.15,10/1/2020
COMMUNITY SURGERY,0.15,11/1/2020
BEHAVIOR,0.15,12/1/2020
LA FEED & BEDDING,0.15,12/1/2020
LA FEED & BEDDING,0.15,1/1/2021
COMMUNITY SURGERY,0.15,6/1/2021
ADMINISTRATION OVERHEAD,0.15,6/1/2021
ORTHOPEDIC SURGERY,0.15,8/1/2021
ORTHOPEDIC SURGERY,0.15,9/1/2021
LA FEED & BEDDING,0.15,9/1/2021
CLINICAL LABORATORIES,0.15,9/1/2021
COMP AVIAN,0.15,10/1/2021
LA FEED & BEDDING,0.15,11/1/2021
CLINICAL LABORATORIES,0.15,11/1/2021
NEURO,0.15,12/1/2021
SA MEDICINE,0.14,5/1/2020
ANESTHESIA,0.14,5/1/2020
SA SX SUPPORT,0.14,5/1/2020
COMMUNITY SURGERY,0.14,6/1/2020
PHARMACY,0.14,7/1/2020
SMALL ANIMAL PATIENT CARE,0.14,8/1/2020
CLINICAL LABORATORIES,0.14,8/1/2020
SA INTEGRATIVE MEDICINE,0.14,9/1/2020
CLIENT SERVICES,0.14,11/1/2020
CLIENT SERVICES,0.14,2/1/2021
SA SX SUPPORT,0.14,3/1/2021
CLIENT SERVICES,0.14,3/1/2021
DERMATOLOGY,0.14,3/1/2021
BIOLOGICAL MEDIA SERVICES,0.14,4/1/2021
PERSONNEL/PAYROLL,0.14,5/1/2021
ANESTHESIA,0.14,7/1/2021
COMMUNITY SURGERY,0.14,8/1/2021
SMALL ANIMAL PATIENT CARE,0.14,9/1/2021
DERMATOLOGY,0.14,9/1/2021
ANESTHESIA,0.14,10/1/2021
SA MEDICINE,0.14,12/1/2021
LA FEED & BEDDING,0.14,12/1/2021
CLINICAL LABORATORIES,0.13,1/1/2020
ORTHOPEDIC SURGERY,0.13,2/1/2020
LIVESTOCK,0.13,3/1/2020
LAM - EQUINE,0.13,3/1/2020
CENTRAL SERVICE,0.13,3/1/2020
SA CARDIOLOGY,0.13,5/1/2020
SA COMMUNITY SERVICE,0.13,5/1/2020
ORTHOPEDIC SURGERY,0.13,5/1/2020
NEURO,0.13,6/1/2020
SMALL ANIMAL PATIENT CARE,0.13,6/1/2020
CLINICAL LABORATORIES,0.13,6/1/2020
PHARMACY,0.13,6/1/2020
SMALL ANIMAL PATIENT CARE,0.13,7/1/2020
NEURO,0.13,8/1/2020
COMMUNITY SURGERY,0.13,8/1/2020
SA SX SUPPORT,0.13,8/1/2020
SMALL ANIMAL PATIENT CARE,0.13,10/1/2020
CLINICAL LABORATORIES,0.13,10/1/2020
ANESTHESIA,0.13,11/1/2020
LA FEED & BEDDING,0.13,11/1/2020
ORTHOPEDIC SURGERY,0.13,5/1/2021
LIVESTOCK,0.13,6/1/2021
SMALL ANIMAL PATIENT CARE,0.13,6/1/2021
CLINICAL LABORATORIES,0.13,6/1/2021
PERSONNEL/PAYROLL,0.13,7/1/2021
SA SX SUPPORT,0.13,8/1/2021
FINANCIAL SERVICES,0.13,8/1/2021
ORTHOPEDIC SURGERY,0.13,10/1/2021
SMALL ANIMAL PATIENT CARE,0.13,10/1/2021
LIVESTOCK,0.13,11/1/2021
OPHTHALMOLOGY,0.13,11/1/2021
ANESTHESIA,0.13,12/1/2021
ORTHOPEDIC SURGERY,0.12,1/1/2020
SA SURGERY,0.12,4/1/2020
ADMINISTRATION OVERHEAD,0.12,4/1/2020
SMALL ANIMAL PATIENT CARE,0.12,5/1/2020
COMP AVIAN,0.12,6/1/2020
ONCOLOGIES,0.12,7/1/2020
ORTHOPEDIC SURGERY,0.12,7/1/2020
ADMINISTRATION OVERHEAD,0.12,7/1/2020
SA MEDICINE,0.12,8/1/2020
SA ULTRASOUND,0.12,8/1/2020
CLIENT SERVICES,0.12,9/1/2020
BIOLOGICAL MEDIA SERVICES,0.12,11/1/2020
SMALL ANIMAL PATIENT CARE,0.12,11/1/2020
CLINICAL LABORATORIES,0.12,11/1/2020
CENTRAL SERVICE,0.12,11/1/2020
DENTISTRY,0.12,12/1/2020
COMMUNITY SURGERY,0.12,12/1/2020
ADMINISTRATION OVERHEAD,0.12,12/1/2020
SA SX SUPPORT,0.12,2/1/2021
CLINICAL LABORATORIES,0.12,2/1/2021
SA ICU,0.12,3/1/2021
ANESTHESIA,0.12,3/1/2021
SA CARDIOLOGY,0.12,4/1/2021
NEURO,0.12,4/1/2021
CENTRAL SERVICE,0.12,4/1/2021
SA ICU,0.12,6/1/2021
LIVESTOCK,0.12,7/1/2021
SMALL ANIMAL PATIENT CARE,0.12,7/1/2021
LA FEED & BEDDING,0.12,7/1/2021
RADIOLOGY,0.12,7/1/2021
DERMATOLOGY,0.12,7/1/2021
SA ICU,0.12,8/1/2021
ANESTHESIA,0.12,8/1/2021
CLIENT SERVICES,0.12,8/1/2021
SA CARDIOLOGY,0.12,12/1/2021
CENTRAL SERVICE,0.12,12/1/2021
ONCOLOGIES,0.11,3/1/2020
PHARMACY,0.11,3/1/2020
SA ICU,0.11,5/1/2020
ONCOLOGIES,0.11,5/1/2020
SA ICU,0.11,6/1/2020
CENTRAL SERVICE,0.11,7/1/2020
SMALL ANIMAL PATIENT CARE,0.11,9/1/2020
PHARMACY,0.11,11/1/2020
PERSONNEL/PAYROLL,0.11,11/1/2020
SA COMMUNITY SERVICE,0.11,12/1/2020
ANESTHESIA,0.11,1/1/2021
CLINICAL LABORATORIES,0.11,1/1/2021
SA ULTRASOUND,0.11,1/1/2021
SMALL ANIMAL PATIENT CARE,0.11,2/1/2021
COMMUNITY SURGERY,0.11,3/1/2021
PATHOLOGY,0.11,3/1/2021
CLINICAL LABORATORIES,0.11,5/1/2021
RADIOLOGY,0.11,5/1/2021
LA FEED & BEDDING,0.11,6/1/2021
RADIOLOGY,0.11,6/1/2021
FINANCIAL SERVICES,0.11,6/1/2021
SA ICU,0.11,7/1/2021
PHARMACY,0.11,7/1/2021
CLIENT SERVICES,0.11,7/1/2021
SMALL ANIMAL PATIENT CARE,0.11,8/1/2021
DERMATOLOGY,0.11,8/1/2021
SA INTEGRATIVE MEDICINE,0.11,9/1/2021
ANESTHESIA,0.11,9/1/2021
ADMINISTRATION OVERHEAD,0.11,9/1/2021
PERSONNEL/PAYROLL,0.11,9/1/2021
CLIENT SERVICES,0.11,9/1/2021
NEURO,0.11,10/1/2021
SA MEDICINE,0.11,11/1/2021
COMMUNITY SURGERY,0.11,11/1/2021
ORTHOPEDIC SURGERY,0.11,11/1/2021
ADMINISTRATION OVERHEAD,0.11,12/1/2021
FINANCIAL SERVICES,0.11,12/1/2021
PHARMACY,0.10,1/1/2020
SA MEDICINE,0.10,3/1/2020
SA COMMUNITY SERVICE,0.10,3/1/2020
SA SURGERY,0.10,3/1/2020
NUTRITION,0.10,7/1/2020
DENTISTRY,0.10,8/1/2020
ONCOLOGIES,0.10,9/1/2020
ANESTHESIA,0.10,9/1/2020
SA MEDICINE,0.10,10/1/2020
COMP AVIAN,0.10,10/1/2020
LA FEED & BEDDING,0.10,10/1/2020
SA MEDICINE,0.10,11/1/2020
LIVESTOCK,0.10,11/1/2020
COMP AVIAN,0.10,11/1/2020
CLINICAL LABORATORIES,0.10,12/1/2020
RADIOLOGY,0.10,2/1/2021
NUTRITION,0.10,4/1/2021
ANESTHESIA,0.10,4/1/2021
CLINICAL LABORATORIES,0.10,4/1/2021
PATHOLOGY,0.10,4/1/2021
CLIENT SERVICES,0.10,4/1/2021
LIVESTOCK,0.10,5/1/2021
SA ICU,0.10,5/1/2021
SMALL ANIMAL PATIENT CARE,0.10,5/1/2021
NUTRITION,0.10,6/1/2021
COMP AVIAN,0.10,7/1/2021
FINANCIAL SERVICES,0.10,7/1/2021
LIVESTOCK,0.10,8/1/2021
SA MEDICINE,0.10,10/1/2021
LA FEED & BEDDING,0.10,10/1/2021
SA ULTRASOUND,0.10,10/1/2021
PERSONNEL/PAYROLL,0.10,10/1/2021
ANESTHESIA,0.10,11/1/2021
PERSONNEL/PAYROLL,0.10,11/1/2021
BEHAVIOR,0.10,12/1/2021
ONCOLOGIES,0.10,12/1/2021
COMMUNITY SURGERY,0.10,12/1/2021
SA SX SUPPORT,0.10,12/1/2021
SA ULTRASOUND,0.10,12/1/2021
LIVESTOCK,0.09,1/1/2020
ONCOLOGIES,0.09,1/1/2020
LA FEED & BEDDING,0.09,1/1/2020
RADIOLOGY,0.09,1/1/2020
BIOLOGICAL MEDIA SERVICES,0.09,2/1/2020
SMALL ANIMAL PATIENT CARE,0.09,2/1/2020
CLINICAL LABORATORIES,0.09,2/1/2020
CLIENT SERVICES,0.09,2/1/2020
LIVESTOCK,0.09,5/1/2020
OPHTHALMOLOGY,0.09,5/1/2020
SA INTEGRATIVE MEDICINE,0.09,6/1/2020
LIVESTOCK,0.09,7/1/2020
SA ICU,0.09,7/1/2020
SA SX SUPPORT,0.09,7/1/2020
ONCOLOGIES,0.09,8/1/2020
ANESTHESIA,0.09,8/1/2020
CENTRAL SERVICE,0.09,8/1/2020
ADMINISTRATION OVERHEAD,0.09,8/1/2020
SA CARDIOLOGY,0.09,9/1/2020
ORTHOPEDIC SURGERY,0.09,9/1/2020
SA SX SUPPORT,0.09,9/1/2020
LA FEED & BEDDING,0.09,9/1/2020
CENTRAL SERVICE,0.09,9/1/2020
CENTRAL SERVICE,0.09,10/1/2020
PHARMACY,0.09,10/1/2020
SA COMMUNITY SERVICE,0.09,11/1/2020
LIVESTOCK,0.09,12/1/2020
SA ICU,0.09,12/1/2020
SA SURGERY,0.09,12/1/2020
SMALL ANIMAL PATIENT CARE,0.09,12/1/2020
SA ICU,0.09,1/1/2021
ORTHOPEDIC SURGERY,0.09,1/1/2021
SMALL ANIMAL PATIENT CARE,0.09,1/1/2021
SA ICU,0.09,2/1/2021
ANESTHESIA,0.09,2/1/2021
LA FEED & BEDDING,0.09,2/1/2021
SMALL ANIMAL PATIENT CARE,0.09,3/1/2021
SA ULTRASOUND,0.09,3/1/2021
LIVESTOCK,0.09,4/1/2021
SA ULTRASOUND,0.09,4/1/2021
BIOLOGICAL MEDIA SERVICES,0.09,5/1/2021
NUTRITION,0.09,5/1/2021
CLIENT SERVICES,0.09,5/1/2021
B BARN,0.09,6/1/2021
PHARMACY,0.09,6/1/2021
CLIENT SERVICES,0.09,6/1/2021
BEHAVIOR,0.09,7/1/2021
DENTISTRY,0.09,9/1/2021
BIOLOGICAL MEDIA SERVICES,0.09,10/1/2021
SA ICU,0.09,10/1/2021
ADMINISTRATION OVERHEAD,0.09,10/1/2021
BIOLOGICAL MEDIA SERVICES,0.09,11/1/2021
COMP AVIAN,0.09,11/1/2021
CENTRAL SERVICE,0.09,11/1/2021
LIVESTOCK,0.09,12/1/2021
OPHTHALMOLOGY,0.09,12/1/2021
BIOLOGICAL MEDIA SERVICES,0.08,1/1/2020
NEURO,0.08,1/1/2020
CENTRAL SERVICE,0.08,1/1/2020
SA COMMUNITY SERVICE,0.08,2/1/2020
COMMUNITY SURGERY,0.08,2/1/2020
LAM - EQUINE,0.08,2/1/2020
RADIOLOGY,0.08,2/1/2020
RADIOLOGY,0.08,5/1/2020
SA MEDICINE,0.08,6/1/2020
BEHAVIOR,0.08,6/1/2020
CENTRAL SERVICE,0.08,6/1/2020
LAM - EQUINE,0.08,7/1/2020
SA COMMUNITY SERVICE,0.08,8/1/2020
OPHTHALMOLOGY,0.08,9/1/2020
CLINICAL LABORATORIES,0.08,9/1/2020
SA CARDIOLOGY,0.08,10/1/2020
SA ICU,0.08,10/1/2020
ONCOLOGIES,0.08,10/1/2020
RADIOLOGY,0.08,10/1/2020
SA ICU,0.08,11/1/2020
ONCOLOGIES,0.08,11/1/2020
ORTHOPEDIC SURGERY,0.08,11/1/2020
SA SX SUPPORT,0.08,11/1/2020
NUTRITION,0.08,12/1/2020
B BARN,0.08,12/1/2020
COMMUNITY SURGERY,0.08,1/1/2021
NEURO,0.08,2/1/2021
SA SURGERY,0.08,3/1/2021
CENTRAL SERVICE,0.08,3/1/2021
DENTISTRY,0.08,4/1/2021
SMALL ANIMAL PATIENT CARE,0.08,4/1/2021
RADIOLOGY,0.08,4/1/2021
FINANCIAL SERVICES,0.08,4/1/2021
SA MEDICINE,0.08,6/1/2021
ANESTHESIA,0.08,6/1/2021
LAM - EQUINE,0.08,7/1/2021
PATHOLOGY,0.08,7/1/2021
SA MEDICINE,0.08,8/1/2021
SA COMMUNITY SERVICE,0.08,8/1/2021
PERSONNEL/PAYROLL,0.08,8/1/2021
SA ICU,0.08,9/1/2021
OPHTHALMOLOGY,0.08,9/1/2021
SA SX SUPPORT,0.08,10/1/2021
CLIENT SERVICES,0.08,10/1/2021
SMALL ANIMAL PATIENT CARE,0.08,11/1/2021
RADIOLOGY,0.08,11/1/2021
ORTHOPEDIC SURGERY,0.08,12/1/2021
CLIENT SERVICES,0.08,12/1/2021
SA INTEGRATIVE MEDICINE,0.07,1/1/2020
COMMUNITY SURGERY,0.07,1/1/2020
LAM - EQUINE,0.07,1/1/2020
CLIENT SERVICES,0.07,1/1/2020
BEHAVIOR,0.07,2/1/2020
B BARN,0.07,2/1/2020
SA ICU,0.07,3/1/2020
LAM - EQUINE,0.07,5/1/2020
PHARMACY,0.07,5/1/2020
SA CARDIOLOGY,0.07,6/1/2020
SA COMMUNITY SERVICE,0.07,6/1/2020
ADMINISTRATION OVERHEAD,0.07,6/1/2020
NEURO,0.07,7/1/2020
SA ICU,0.07,8/1/2020
SA ICU,0.07,9/1/2020
NEURO,0.07,9/1/2020
SA SX SUPPORT,0.07,10/1/2020
DENTISTRY,0.07,11/1/2020
SA SURGERY,0.07,11/1/2020
LAM - EQUINE,0.07,11/1/2020
SA MEDICINE,0.07,12/1/2020
PATHOLOGY,0.07,12/1/2020
PHARMACY,0.07,12/1/2020
SA SX SUPPORT,0.07,1/1/2021
LIVESTOCK,0.07,2/1/2021
ORTHOPEDIC SURGERY,0.07,2/1/2021
SA SURGERY,0.07,2/1/2021
BIOLOGICAL MEDIA SERVICES,0.07,3/1/2021
SA CARDIOLOGY,0.07,3/1/2021
ORTHOPEDIC SURGERY,0.07,3/1/2021
COMP AVIAN,0.07,3/1/2021
PHARMACY,0.07,3/1/2021
FINANCIAL SERVICES,0.07,3/1/2021
SA ICU,0.07,4/1/2021
SA COMMUNITY SERVICE,0.07,4/1/2021
LAM - EQUINE,0.07,4/1/2021
ANESTHESIA,0.07,5/1/2021
NEURO,0.07,6/1/2021
LAM - EQUINE,0.07,6/1/2021
NEURO,0.07,7/1/2021
B BARN,0.07,7/1/2021
NEURO,0.07,8/1/2021
SA ULTRASOUND,0.07,8/1/2021
CENTRAL SERVICE,0.07,8/1/2021
LIVESTOCK,0.07,9/1/2021
NEURO,0.07,9/1/2021
BEHAVIOR,0.07,10/1/2021
CENTRAL SERVICE,0.07,10/1/2021
NEURO,0.07,11/1/2021
PHARMACY,0.07,11/1/2021
NUTRITION,0.07,12/1/2021
SMALL ANIMAL PATIENT CARE,0.07,12/1/2021
LAM - EQUINE,0.07,12/1/2021
PHARMACY,0.07,12/1/2021
SMALL ANIMAL PATIENT CARE,0.06,1/1/2020
PATHOLOGY,0.06,1/1/2020
SA MEDICINE,0.06,2/1/2020
ONCOLOGIES,0.06,2/1/2020
CENTRAL SERVICE,0.06,2/1/2020
ADMINISTRATION OVERHEAD,0.06,2/1/2020
COMP AVIAN,0.06,3/1/2020
COMP AVIAN,0.06,5/1/2020
ANESTHESIA,0.06,6/1/2020
LAM - EQUINE,0.06,6/1/2020
PATHOLOGY,0.06,6/1/2020
SA CARDIOLOGY,0.06,7/1/2020
SA COMMUNITY SERVICE,0.06,7/1/2020
COMP AVIAN,0.06,7/1/2020
FINANCIAL SERVICES,0.06,7/1/2020
LIVESTOCK,0.06,8/1/2020
COMP AVIAN,0.06,8/1/2020
LAM - EQUINE,0.06,8/1/2020
PERSONNEL/PAYROLL,0.06,8/1/2020
SA COMMUNITY SERVICE,0.06,9/1/2020
LIVESTOCK,0.06,10/1/2020
NEURO,0.06,10/1/2020
LAM - EQUINE,0.06,10/1/2020
NEURO,0.06,11/1/2020
SA ULTRASOUND,0.06,11/1/2020
SA INTEGRATIVE MEDICINE,0.06,12/1/2020
LAM - EQUINE,0.06,12/1/2020
SA MEDICINE,0.06,1/1/2021
LIVESTOCK,0.06,1/1/2021
SA SURGERY,0.06,1/1/2021
SA MEDICINE,0.06,2/1/2021
SA CARDIOLOGY,0.06,2/1/2021
LAM - EQUINE,0.06,2/1/2021
FINANCIAL SERVICES,0.06,2/1/2021
SA MEDICINE,0.06,3/1/2021
NEURO,0.06,3/1/2021
CLINICAL LABORATORIES,0.06,3/1/2021
SA SURGERY,0.06,4/1/2021
ADMINISTRATION OVERHEAD,0.06,4/1/2021
SA MEDICINE,0.06,5/1/2021
COMP AVIAN,0.06,5/1/2021
LAM - EQUINE,0.06,5/1/2021
PATHOLOGY,0.06,5/1/2021
PHARMACY,0.06,5/1/2021
SA CARDIOLOGY,0.06,6/1/2021
SA SX SUPPORT,0.06,7/1/2021
LA FEED & BEDDING,0.06,8/1/2021
RADIOLOGY,0.06,8/1/2021
ADMINISTRATION OVERHEAD,0.06,8/1/2021
SA MEDICINE,0.06,9/1/2021
SA COMMUNITY SERVICE,0.06,9/1/2021
COMMUNITY SURGERY,0.06,9/1/2021
SA SX SUPPORT,0.06,9/1/2021
LAM - EQUINE,0.06,9/1/2021
PATHOLOGY,0.06,9/1/2021
CENTRAL SERVICE,0.06,9/1/2021
ONCOLOGIES,0.06,10/1/2021
COMMUNITY SURGERY,0.06,10/1/2021
SA SURGERY,0.06,10/1/2021
SA CARDIOLOGY,0.06,11/1/2021
SA ICU,0.06,11/1/2021
CLIENT SERVICES,0.06,11/1/2021
BIOLOGICAL MEDIA SERVICES,0.06,12/1/2021
SA COMMUNITY SERVICE,0.06,12/1/2021
B BARN,0.06,12/1/2021
PATHOLOGY,0.06,12/1/2021
RADIOLOGY,0.06,12/1/2021
SA ICU,0.05,1/1/2020
ANESTHESIA,0.05,1/1/2020
SA SX SUPPORT,0.05,1/1/2020
ADMINISTRATION OVERHEAD,0.05,1/1/2020
LIVESTOCK,0.05,2/1/2020
ANESTHESIA,0.05,2/1/2020
PATHOLOGY,0.05,2/1/2020
FINANCIAL SERVICES,0.05,2/1/2020
PATHOLOGY,0.05,3/1/2020
ADMINISTRATION OVERHEAD,0.05,3/1/2020
BEHAVIOR,0.05,5/1/2020
PATHOLOGY,0.05,5/1/2020
PERSONNEL/PAYROLL,0.05,5/1/2020
ONCOLOGIES,0.05,6/1/2020
RADIOLOGY,0.05,6/1/2020
BIOLOGICAL MEDIA SERVICES,0.05,7/1/2020
SA SURGERY,0.05,7/1/2020
RADIOLOGY,0.05,7/1/2020
BEHAVIOR,0.05,8/1/2020
FINANCIAL SERVICES,0.05,8/1/2020
SA MEDICINE,0.05,9/1/2020
LAM - EQUINE,0.05,9/1/2020
PHARMACY,0.05,9/1/2020
PERSONNEL/PAYROLL,0.05,9/1/2020
BEHAVIOR,0.05,10/1/2020
PATHOLOGY,0.05,10/1/2020
DERMATOLOGY,0.05,10/1/2020
SA CARDIOLOGY,0.05,11/1/2020
NUTRITION,0.05,11/1/2020
SA INTEGRATIVE MEDICINE,0.05,11/1/2020
ONCOLOGIES,0.05,12/1/2020
COMP AVIAN,0.05,12/1/2020
SA CARDIOLOGY,0.05,1/1/2021
SA COMMUNITY SERVICE,0.05,1/1/2021
RADIOLOGY,0.05,1/1/2021
CENTRAL SERVICE,0.05,1/1/2021
FINANCIAL SERVICES,0.05,1/1/2021
COMMUNITY SURGERY,0.05,2/1/2021
COMP AVIAN,0.05,2/1/2021
PATHOLOGY,0.05,2/1/2021
CENTRAL SERVICE,0.05,2/1/2021
LAM - EQUINE,0.05,3/1/2021
RADIOLOGY,0.05,3/1/2021
SA INTEGRATIVE MEDICINE,0.05,4/1/2021
COMP AVIAN,0.05,4/1/2021
PHARMACY,0.05,4/1/2021
PERSONNEL/PAYROLL,0.05,4/1/2021
NEURO,0.05,5/1/2021
ONCOLOGIES,0.05,5/1/2021
OPHTHALMOLOGY,0.05,5/1/2021
SA INTEGRATIVE MEDICINE,0.05,5/1/2021
SA SURGERY,0.05,5/1/2021
DERMATOLOGY,0.05,5/1/2021
ONCOLOGIES,0.05,6/1/2021
ONCOLOGIES,0.05,7/1/2021
COMMUNITY SURGERY,0.05,7/1/2021
SA SURGERY,0.05,7/1/2021
SA ULTRASOUND,0.05,7/1/2021
BEHAVIOR,0.05,8/1/2021
DENTISTRY,0.05,8/1/2021
LAM - EQUINE,0.05,8/1/2021
ONCOLOGIES,0.05,9/1/2021
SA SURGERY,0.05,9/1/2021
PHARMACY,0.05,9/1/2021
LIVESTOCK,0.05,10/1/2021
SA CARDIOLOGY,0.05,10/1/2021
LAM - EQUINE,0.05,10/1/2021
PHARMACY,0.05,10/1/2021
PATHOLOGY,0.05,11/1/2021
SA ULTRASOUND,0.05,11/1/2021
ADMINISTRATION OVERHEAD,0.05,11/1/2021
SA ICU,0.05,12/1/2021
NUTRITION,0.04,1/1/2020
COMP AVIAN,0.04,1/1/2020
SA CARDIOLOGY,0.04,2/1/2020
SA ICU,0.04,2/1/2020
NEURO,0.04,2/1/2020
NUTRITION,0.04,2/1/2020
SA INTEGRATIVE MEDICINE,0.04,2/1/2020
SA SX SUPPORT,0.04,2/1/2020
B BARN,0.04,5/1/2020
FINANCIAL SERVICES,0.04,5/1/2020
OPHTHALMOLOGY,0.04,6/1/2020
SA SX SUPPORT,0.04,6/1/2020
FINANCIAL SERVICES,0.04,6/1/2020
ORTHOPEDIC SURGERY,0.04,8/1/2020
PATHOLOGY,0.04,8/1/2020
