"","Department","Absent_Rate","month"
"235","SA ICU","12%",2021-08-01
"236","ANESTHESIA","12%",2021-08-01
"237","CLIENT SERVICES","12%",2021-08-01
"238","SA CARDIOLOGY","12%",2021-12-01
"239","CENTRAL SERVICE","12%",2021-12-01
"240","ONCOLOGIES","11%",2020-03-01
"241","PHARMACY","11%",2020-03-01
"242","SA ICU","11%",2020-05-01
"243","ONCOLOGIES","11%",2020-05-01
"244","SA ICU","11%",2020-06-01
"245","CENTRAL SERVICE","11%",2020-07-01
"246","SMALL ANIMAL PATIENT CARE","11%",2020-09-01
"247","PHARMACY","11%",2020-11-01
"248","PERSONNEL/PAYROLL","11%",2020-11-01
"249","SA COMMUNITY SERVICE","11%",2020-12-01
"250","ANESTHESIA","11%",2021-01-01
"251","CLINICAL LABORATORIES","11%",2021-01-01
"252","SA ULTRASOUND","11%",2021-01-01
"253","SMALL ANIMAL PATIENT CARE","11%",2021-02-01
"254","COMMUNITY SURGERY","11%",2021-03-01
"255","PATHOLOGY","11%",2021-03-01
"256","CLINICAL LABORATORIES","11%",2021-05-01
"257","RADIOLOGY","11%",2021-05-01
"258","LA FEED & BEDDING","11%",2021-06-01
"259","RADIOLOGY","11%",2021-06-01
"260","FINANCIAL SERVICES","11%",2021-06-01
"261","SA ICU","11%",2021-07-01
"262","PHARMACY","11%",2021-07-01
"263","CLIENT SERVICES","11%",2021-07-01
"264","SMALL ANIMAL PATIENT CARE","11%",2021-08-01
"265","DERMATOLOGY","11%",2021-08-01
"266","SA INTEGRATIVE MEDICINE","11%",2021-09-01
"267","ANESTHESIA","11%",2021-09-01
"268","ADMINISTRATION OVERHEAD","11%",2021-09-01
"269","PERSONNEL/PAYROLL","11%",2021-09-01
"270","CLIENT SERVICES","11%",2021-09-01
"271","NEURO","11%",2021-10-01
"272","SA MEDICINE","11%",2021-11-01
"273","COMMUNITY SURGERY","11%",2021-11-01
"274","ORTHOPEDIC SURGERY","11%",2021-11-01
"275","ADMINISTRATION OVERHEAD","11%",2021-12-01
"276","FINANCIAL SERVICES","11%",2021-12-01
"277","PHARMACY","10%",2020-01-01
"278","SA MEDICINE","10%",2020-03-01
"279","SA COMMUNITY SERVICE","10%",2020-03-01
"280","SA SURGERY","10%",2020-03-01
"281","NUTRITION","10%",2020-07-01
"282","DENTISTRY","10%",2020-08-01
"283","ONCOLOGIES","10%",2020-09-01
"284","ANESTHESIA","10%",2020-09-01
"285","SA MEDICINE","10%",2020-10-01
"286","COMP AVIAN","10%",2020-10-01
"287","LA FEED & BEDDING","10%",2020-10-01
"288","SA MEDICINE","10%",2020-11-01
"289","LIVESTOCK","10%",2020-11-01
"290","COMP AVIAN","10%",2020-11-01
"291","CLINICAL LABORATORIES","10%",2020-12-01
"292","RADIOLOGY","10%",2021-02-01
"293","NUTRITION","10%",2021-04-01
"294","ANESTHESIA","10%",2021-04-01
"295","CLINICAL LABORATORIES","10%",2021-04-01
"296","PATHOLOGY","10%",2021-04-01
"297","CLIENT SERVICES","10%",2021-04-01
"298","LIVESTOCK","10%",2021-05-01
"299","SA ICU","10%",2021-05-01
"300","SMALL ANIMAL PATIENT CARE","10%",2021-05-01
"301","NUTRITION","10%",2021-06-01
"302","COMP AVIAN","10%",2021-07-01
"303","FINANCIAL SERVICES","10%",2021-07-01
"304","LIVESTOCK","10%",2021-08-01
"305","SA MEDICINE","10%",2021-10-01
"306","LA FEED & BEDDING","10%",2021-10-01
"307","SA ULTRASOUND","10%",2021-10-01
"308","PERSONNEL/PAYROLL","10%",2021-10-01
"309","ANESTHESIA","10%",2021-11-01
"310","PERSONNEL/PAYROLL","10%",2021-11-01
"311","BEHAVIOR","10%",2021-12-01
"312","ONCOLOGIES","10%",2021-12-01
"313","COMMUNITY SURGERY","10%",2021-12-01
"314","SA SX SUPPORT","10%",2021-12-01
"315","SA ULTRASOUND","10%",2021-12-01
"316","LIVESTOCK","9%",2020-01-01
"317","ONCOLOGIES","9%",2020-01-01
"318","LA FEED & BEDDING","9%",2020-01-01
"319","RADIOLOGY","9%",2020-01-01
"320","BIOLOGICAL MEDIA SERVICES","9%",2020-02-01
"321","SMALL ANIMAL PATIENT CARE","9%",2020-02-01
"322","CLINICAL LABORATORIES","9%",2020-02-01
"323","CLIENT SERVICES","9%",2020-02-01
"324","LIVESTOCK","9%",2020-05-01
"325","OPHTHALMOLOGY","9%",2020-05-01
"326","SA INTEGRATIVE MEDICINE","9%",2020-06-01
"327","LIVESTOCK","9%",2020-07-01
"328","SA ICU","9%",2020-07-01
"329","SA SX SUPPORT","9%",2020-07-01
"330","ONCOLOGIES","9%",2020-08-01
"331","ANESTHESIA","9%",2020-08-01
"332","CENTRAL SERVICE","9%",2020-08-01
"333","ADMINISTRATION OVERHEAD","9%",2020-08-01
"334","SA CARDIOLOGY","9%",2020-09-01
"335","ORTHOPEDIC SURGERY","9%",2020-09-01
"336","SA SX SUPPORT","9%",2020-09-01
"337","LA FEED & BEDDING","9%",2020-09-01
"338","CENTRAL SERVICE","9%",2020-09-01
"339","CENTRAL SERVICE","9%",2020-10-01
"340","PHARMACY","9%",2020-10-01
"341","SA COMMUNITY SERVICE","9%",2020-11-01
"342","LIVESTOCK","9%",2020-12-01
"343","SA ICU","9%",2020-12-01
"344","SA SURGERY","9%",2020-12-01
"345","SMALL ANIMAL PATIENT CARE","9%",2020-12-01
"346","SA ICU","9%",2021-01-01
"347","ORTHOPEDIC SURGERY","9%",2021-01-01
"348","SMALL ANIMAL PATIENT CARE","9%",2021-01-01
"349","SA ICU","9%",2021-02-01
"350","ANESTHESIA","9%",2021-02-01
"351","LA FEED & BEDDING","9%",2021-02-01
"352","SMALL ANIMAL PATIENT CARE","9%",2021-03-01
"353","SA ULTRASOUND","9%",2021-03-01
"354","LIVESTOCK","9%",2021-04-01
"355","SA ULTRASOUND","9%",2021-04-01
"356","BIOLOGICAL MEDIA SERVICES","9%",2021-05-01
"357","NUTRITION","9%",2021-05-01
"358","CLIENT SERVICES","9%",2021-05-01
"359","B BARN","9%",2021-06-01
"360","PHARMACY","9%",2021-06-01
"361","CLIENT SERVICES","9%",2021-06-01
"362","BEHAVIOR","9%",2021-07-01
"363","DENTISTRY","9%",2021-09-01
"364","BIOLOGICAL MEDIA SERVICES","9%",2021-10-01
"365","SA ICU","9%",2021-10-01
"366","ADMINISTRATION OVERHEAD","9%",2021-10-01
"367","BIOLOGICAL MEDIA SERVICES","9%",2021-11-01
"368","COMP AVIAN","9%",2021-11-01
"369","CENTRAL SERVICE","9%",2021-11-01
"370","LIVESTOCK","9%",2021-12-01
"371","OPHTHALMOLOGY","9%",2021-12-01
"372","BIOLOGICAL MEDIA SERVICES","8%",2020-01-01
"373","NEURO","8%",2020-01-01
"374","CENTRAL SERVICE","8%",2020-01-01
"375","SA COMMUNITY SERVICE","8%",2020-02-01
"376","COMMUNITY SURGERY","8%",2020-02-01
"377","LAM - EQUINE","8%",2020-02-01
"378","RADIOLOGY","8%",2020-02-01
"379","RADIOLOGY","8%",2020-05-01
"380","SA MEDICINE","8%",2020-06-01
"381","BEHAVIOR","8%",2020-06-01
"382","CENTRAL SERVICE","8%",2020-06-01
"383","LAM - EQUINE","8%",2020-07-01
"384","SA COMMUNITY SERVICE","8%",2020-08-01
"385","OPHTHALMOLOGY","8%",2020-09-01
"386","CLINICAL LABORATORIES","8%",2020-09-01
"387","SA CARDIOLOGY","8%",2020-10-01
"388","SA ICU","8%",2020-10-01
"389","ONCOLOGIES","8%",2020-10-01
"390","RADIOLOGY","8%",2020-10-01
"391","SA ICU","8%",2020-11-01
"392","ONCOLOGIES","8%",2020-11-01
"393","ORTHOPEDIC SURGERY","8%",2020-11-01
"394","SA SX SUPPORT","8%",2020-11-01
"395","NUTRITION","8%",2020-12-01
"396","B BARN","8%",2020-12-01
"397","COMMUNITY SURGERY","8%",2021-01-01
"398","NEURO","8%",2021-02-01
"399","SA SURGERY","8%",2021-03-01
"400","CENTRAL SERVICE","8%",2021-03-01
"401","DENTISTRY","8%",2021-04-01
"402","SMALL ANIMAL PATIENT CARE","8%",2021-04-01
"403","RADIOLOGY","8%",2021-04-01
"404","FINANCIAL SERVICES","8%",2021-04-01
"405","SA MEDICINE","8%",2021-06-01
"406","ANESTHESIA","8%",2021-06-01
"407","LAM - EQUINE","8%",2021-07-01
"408","PATHOLOGY","8%",2021-07-01
"409","SA MEDICINE","8%",2021-08-01
"410","SA COMMUNITY SERVICE","8%",2021-08-01
"411","PERSONNEL/PAYROLL","8%",2021-08-01
"412","SA ICU","8%",2021-09-01
"413","OPHTHALMOLOGY","8%",2021-09-01
"414","SA SX SUPPORT","8%",2021-10-01
"415","CLIENT SERVICES","8%",2021-10-01
"416","SMALL ANIMAL PATIENT CARE","8%",2021-11-01
"417","RADIOLOGY","8%",2021-11-01
"418","ORTHOPEDIC SURGERY","8%",2021-12-01
"419","CLIENT SERVICES","8%",2021-12-01
"420","SA INTEGRATIVE MEDICINE","7%",2020-01-01
"421","COMMUNITY SURGERY","7%",2020-01-01
"422","LAM - EQUINE","7%",2020-01-01
"423","CLIENT SERVICES","7%",2020-01-01
"424","BEHAVIOR","7%",2020-02-01
"425","B BARN","7%",2020-02-01
"426","SA ICU","7%",2020-03-01
"427","LAM - EQUINE","7%",2020-05-01
"428","PHARMACY","7%",2020-05-01
"429","SA CARDIOLOGY","7%",2020-06-01
"430","SA COMMUNITY SERVICE","7%",2020-06-01
"431","ADMINISTRATION OVERHEAD","7%",2020-06-01
"432","NEURO","7%",2020-07-01
"433","SA ICU","7%",2020-08-01
"434","SA ICU","7%",2020-09-01
"435","NEURO","7%",2020-09-01
"436","SA SX SUPPORT","7%",2020-10-01
"437","DENTISTRY","7%",2020-11-01
"438","SA SURGERY","7%",2020-11-01
"439","LAM - EQUINE","7%",2020-11-01
"440","SA MEDICINE","7%",2020-12-01
"441","PATHOLOGY","7%",2020-12-01
"442","PHARMACY","7%",2020-12-01
"443","SA SX SUPPORT","7%",2021-01-01
"444","LIVESTOCK","7%",2021-02-01
"445","ORTHOPEDIC SURGERY","7%",2021-02-01
"446","SA SURGERY","7%",2021-02-01
"447","BIOLOGICAL MEDIA SERVICES","7%",2021-03-01
"448","SA CARDIOLOGY","7%",2021-03-01
"449","ORTHOPEDIC SURGERY","7%",2021-03-01
"450","COMP AVIAN","7%",2021-03-01
"451","PHARMACY","7%",2021-03-01
"452","FINANCIAL SERVICES","7%",2021-03-01
"453","SA ICU","7%",2021-04-01
"454","SA COMMUNITY SERVICE","7%",2021-04-01
"455","LAM - EQUINE","7%",2021-04-01
"456","ANESTHESIA","7%",2021-05-01
"457","NEURO","7%",2021-06-01
"458","LAM - EQUINE","7%",2021-06-01
"459","NEURO","7%",2021-07-01
"460","B BARN","7%",2021-07-01
"461","NEURO","7%",2021-08-01
"462","SA ULTRASOUND","7%",2021-08-01
"463","CENTRAL SERVICE","7%",2021-08-01
"464","LIVESTOCK","7%",2021-09-01
"465","NEURO","7%",2021-09-01
"466","BEHAVIOR","7%",2021-10-01
"467","CENTRAL SERVICE","7%",2021-10-01
"468","NEURO","7%",2021-11-01
"469","PHARMACY","7%",2021-11-01
"470","NUTRITION","7%",2021-12-01
"471","SMALL ANIMAL PATIENT CARE","7%",2021-12-01
"472","LAM - EQUINE","7%",2021-12-01
"473","PHARMACY","7%",2021-12-01
"474","SMALL ANIMAL PATIENT CARE","6%",2020-01-01
"475","PATHOLOGY","6%",2020-01-01
"476","SA MEDICINE","6%",2020-02-01
"477","ONCOLOGIES","6%",2020-02-01
"478","CENTRAL SERVICE","6%",2020-02-01
"479","ADMINISTRATION OVERHEAD","6%",2020-02-01
"480","COMP AVIAN","6%",2020-03-01
"481","COMP AVIAN","6%",2020-05-01
"482","ANESTHESIA","6%",2020-06-01
"483","LAM - EQUINE","6%",2020-06-01
"484","PATHOLOGY","6%",2020-06-01
"485","SA CARDIOLOGY","6%",2020-07-01
"486","SA COMMUNITY SERVICE","6%",2020-07-01
"487","COMP AVIAN","6%",2020-07-01
"488","FINANCIAL SERVICES","6%",2020-07-01
"489","LIVESTOCK","6%",2020-08-01
"490","COMP AVIAN","6%",2020-08-01
"491","LAM - EQUINE","6%",2020-08-01
"492","PERSONNEL/PAYROLL","6%",2020-08-01
"493","SA COMMUNITY SERVICE","6%",2020-09-01
"494","LIVESTOCK","6%",2020-10-01
"495","NEURO","6%",2020-10-01
"496","LAM - EQUINE","6%",2020-10-01
"497","NEURO","6%",2020-11-01
"498","SA ULTRASOUND","6%",2020-11-01
"499","SA INTEGRATIVE MEDICINE","6%",2020-12-01
"500","LAM - EQUINE","6%",2020-12-01
"501","SA MEDICINE","6%",2021-01-01
"502","LIVESTOCK","6%",2021-01-01
"503","SA SURGERY","6%",2021-01-01
"504","SA MEDICINE","6%",2021-02-01
"505","SA CARDIOLOGY","6%",2021-02-01
"506","LAM - EQUINE","6%",2021-02-01
"507","FINANCIAL SERVICES","6%",2021-02-01
"508","SA MEDICINE","6%",2021-03-01
"509","NEURO","6%",2021-03-01
"510","CLINICAL LABORATORIES","6%",2021-03-01
"511","SA SURGERY","6%",2021-04-01
"512","ADMINISTRATION OVERHEAD","6%",2021-04-01
"513","SA MEDICINE","6%",2021-05-01
"514","COMP AVIAN","6%",2021-05-01
"515","LAM - EQUINE","6%",2021-05-01
"516","PATHOLOGY","6%",2021-05-01
"517","PHARMACY","6%",2021-05-01
"518","SA CARDIOLOGY","6%",2021-06-01
"519","SA SX SUPPORT","6%",2021-07-01
"520","LA FEED & BEDDING","6%",2021-08-01
"521","RADIOLOGY","6%",2021-08-01
"522","ADMINISTRATION OVERHEAD","6%",2021-08-01
"523","SA MEDICINE","6%",2021-09-01
"524","SA COMMUNITY SERVICE","6%",2021-09-01
"525","COMMUNITY SURGERY","6%",2021-09-01
"526","SA SX SUPPORT","6%",2021-09-01
"527","LAM - EQUINE","6%",2021-09-01
"528","PATHOLOGY","6%",2021-09-01
"529","CENTRAL SERVICE","6%",2021-09-01
"530","ONCOLOGIES","6%",2021-10-01
"531","COMMUNITY SURGERY","6%",2021-10-01
"532","SA SURGERY","6%",2021-10-01
"533","SA CARDIOLOGY","6%",2021-11-01
"534","SA ICU","6%",2021-11-01
"535","CLIENT SERVICES","6%",2021-11-01
"536","BIOLOGICAL MEDIA SERVICES","6%",2021-12-01
"537","SA COMMUNITY SERVICE","6%",2021-12-01
"538","B BARN","6%",2021-12-01
"539","PATHOLOGY","6%",2021-12-01
"540","RADIOLOGY","6%",2021-12-01
"541","SA ICU","5%",2020-01-01
"542","ANESTHESIA","5%",2020-01-01
"543","SA SX SUPPORT","5%",2020-01-01
"544","ADMINISTRATION OVERHEAD","5%",2020-01-01
"545","LIVESTOCK","5%",2020-02-01
"546","ANESTHESIA","5%",2020-02-01
"547","PATHOLOGY","5%",2020-02-01
"548","FINANCIAL SERVICES","5%",2020-02-01
"549","PATHOLOGY","5%",2020-03-01
"550","ADMINISTRATION OVERHEAD","5%",2020-03-01
"551","BEHAVIOR","5%",2020-05-01
"552","PATHOLOGY","5%",2020-05-01
"553","PERSONNEL/PAYROLL","5%",2020-05-01
"554","ONCOLOGIES","5%",2020-06-01
"555","RADIOLOGY","5%",2020-06-01
"556","BIOLOGICAL MEDIA SERVICES","5%",2020-07-01
"557","SA SURGERY","5%",2020-07-01
"558","RADIOLOGY","5%",2020-07-01
"559","BEHAVIOR","5%",2020-08-01
"560","FINANCIAL SERVICES","5%",2020-08-01
"561","SA MEDICINE","5%",2020-09-01
"562","LAM - EQUINE","5%",2020-09-01
"563","PHARMACY","5%",2020-09-01
"564","PERSONNEL/PAYROLL","5%",2020-09-01
"565","BEHAVIOR","5%",2020-10-01
"566","PATHOLOGY","5%",2020-10-01
"567","DERMATOLOGY","5%",2020-10-01
"568","SA CARDIOLOGY","5%",2020-11-01
"569","NUTRITION","5%",2020-11-01
"570","SA INTEGRATIVE MEDICINE","5%",2020-11-01
"571","ONCOLOGIES","5%",2020-12-01
"572","COMP AVIAN","5%",2020-12-01
