name,n,year,n2
ANESTHESIA,0.14,5/1/2020,14%
SA SX SUPPORT,0.14,5/1/2020,14%
SA CARDIOLOGY,0.13,5/1/2020,13%
SA COMMUNITY SERVICE,0.13,5/1/2020,13%
ORTHOPEDIC SURGERY,0.13,5/1/2020,13%
SMALL ANIMAL PATIENT CARE,0.12,5/1/2020,12%
SA ICU,0.11,5/1/2020,11%
ONCOLOGIES,0.11,5/1/2020,11%
LIVESTOCK,0.09,5/1/2020,9%
OPHTHALMOLOGY,0.09,5/1/2020,9%
RADIOLOGY,0.08,5/1/2020,8%
LAM - EQUINE,0.07,5/1/2020,7%
PHARMACY,0.07,5/1/2020,7%
COMP AVIAN,0.06,5/1/2020,6%
BEHAVIOR,0.05,5/1/2020,5%
PATHOLOGY,0.05,5/1/2020,5%
PERSONNEL/PAYROLL,0.05,5/1/2020,5%
B BARN,0.04,5/1/2020,4%
FINANCIAL SERVICES,0.04,5/1/2020,4%
SA SURGERY,0.03,5/1/2020,3%
ADMINISTRATION OVERHEAD,0.02,5/1/2020,2%
HOUSE OFFICERS,0.01,5/1/2020,1%
NUTRITION,0.01,5/1/2020,1%
SA INTEGRATIVE MEDICINE,0.00,5/1/2020,0%
DERMATOLOGY,0.00,5/1/2020,0%
DENTISTRY,0.51,6/1/2020,51%
B BARN,0.29,6/1/2020,29%
BIOLOGICAL MEDIA SERVICES,0.22,6/1/2020,22%
LA FEED & BEDDING,0.20,6/1/2020,20%
CLIENT SERVICES,0.18,6/1/2020,18%
SA ULTRASOUND,0.16,6/1/2020,16%
COMMUNITY SURGERY,0.14,6/1/2020,14%
NEURO,0.13,6/1/2020,13%
SMALL ANIMAL PATIENT CARE,0.13,6/1/2020,13%
CLINICAL LABORATORIES,0.13,6/1/2020,13%
PHARMACY,0.13,6/1/2020,13%
COMP AVIAN,0.12,6/1/2020,12%
SA ICU,0.11,6/1/2020,11%
SA INTEGRATIVE MEDICINE,0.09,6/1/2020,9%
SA MEDICINE,0.08,6/1/2020,8%
BEHAVIOR,0.08,6/1/2020,8%
CENTRAL SERVICE,0.08,6/1/2020,8%
SA CARDIOLOGY,0.07,6/1/2020,7%
SA COMMUNITY SERVICE,0.07,6/1/2020,7%
ADMINISTRATION OVERHEAD,0.07,6/1/2020,7%
ANESTHESIA,0.06,6/1/2020,6%
LAM - EQUINE,0.06,6/1/2020,6%
PATHOLOGY,0.06,6/1/2020,6%
ONCOLOGIES,0.05,6/1/2020,5%
RADIOLOGY,0.05,6/1/2020,5%
OPHTHALMOLOGY,0.04,6/1/2020,4%
SA SX SUPPORT,0.04,6/1/2020,4%
FINANCIAL SERVICES,0.04,6/1/2020,4%
LIVESTOCK,0.03,6/1/2020,3%
HOUSE OFFICERS,0.03,6/1/2020,3%
ORTHOPEDIC SURGERY,0.03,6/1/2020,3%
SA SURGERY,0.02,6/1/2020,2%
NUTRITION,0.00,6/1/2020,0%
PERSONNEL/PAYROLL,0.00,6/1/2020,0%
DERMATOLOGY,0.00,6/1/2020,0%
DENTISTRY,0.44,7/1/2020,44%
LA FEED & BEDDING,0.25,7/1/2020,25%
BEHAVIOR,0.23,7/1/2020,23%
COMMUNITY SURGERY,0.22,7/1/2020,22%
PERSONNEL/PAYROLL,0.20,7/1/2020,20%
SA INTEGRATIVE MEDICINE,0.17,7/1/2020,17%
CLINICAL LABORATORIES,0.17,7/1/2020,17%
SA ULTRASOUND,0.17,7/1/2020,17%
SA MEDICINE,0.16,7/1/2020,16%
ANESTHESIA,0.15,7/1/2020,15%
CLIENT SERVICES,0.15,7/1/2020,15%
PHARMACY,0.14,7/1/2020,14%
SMALL ANIMAL PATIENT CARE,0.13,7/1/2020,13%
ONCOLOGIES,0.12,7/1/2020,12%
ORTHOPEDIC SURGERY,0.12,7/1/2020,12%
ADMINISTRATION OVERHEAD,0.12,7/1/2020,12%
CENTRAL SERVICE,0.11,7/1/2020,11%
NUTRITION,0.10,7/1/2020,10%
LIVESTOCK,0.09,7/1/2020,9%
SA ICU,0.09,7/1/2020,9%
SA SX SUPPORT,0.09,7/1/2020,9%
LAM - EQUINE,0.08,7/1/2020,8%
NEURO,0.07,7/1/2020,7%
SA CARDIOLOGY,0.06,7/1/2020,6%
SA COMMUNITY SERVICE,0.06,7/1/2020,6%
COMP AVIAN,0.06,7/1/2020,6%
FINANCIAL SERVICES,0.06,7/1/2020,6%
BIOLOGICAL MEDIA SERVICES,0.05,7/1/2020,5%
SA SURGERY,0.05,7/1/2020,5%
RADIOLOGY,0.05,7/1/2020,5%
OPHTHALMOLOGY,0.03,7/1/2020,3%
PATHOLOGY,0.03,7/1/2020,3%
B BARN,0.02,7/1/2020,2%
DERMATOLOGY,0.02,7/1/2020,2%
HOUSE OFFICERS,0.00,7/1/2020,0%
BIOLOGICAL MEDIA SERVICES,0.27,8/1/2020,27%
SA INTEGRATIVE MEDICINE,0.20,8/1/2020,20%
LA FEED & BEDDING,0.19,8/1/2020,19%
CLIENT SERVICES,0.17,8/1/2020,17%
SA CARDIOLOGY,0.15,8/1/2020,15%
SMALL ANIMAL PATIENT CARE,0.14,8/1/2020,14%
CLINICAL LABORATORIES,0.14,8/1/2020,14%
NEURO,0.13,8/1/2020,13%
COMMUNITY SURGERY,0.13,8/1/2020,13%
SA SX SUPPORT,0.13,8/1/2020,13%
SA MEDICINE,0.12,8/1/2020,12%
SA ULTRASOUND,0.12,8/1/2020,12%
DENTISTRY,0.10,8/1/2020,10%
ONCOLOGIES,0.09,8/1/2020,9%
ANESTHESIA,0.09,8/1/2020,9%
CENTRAL SERVICE,0.09,8/1/2020,9%
ADMINISTRATION OVERHEAD,0.09,8/1/2020,9%
SA COMMUNITY SERVICE,0.08,8/1/2020,8%
SA ICU,0.07,8/1/2020,7%
LIVESTOCK,0.06,8/1/2020,6%
COMP AVIAN,0.06,8/1/2020,6%
LAM - EQUINE,0.06,8/1/2020,6%
PERSONNEL/PAYROLL,0.06,8/1/2020,6%
BEHAVIOR,0.05,8/1/2020,5%
FINANCIAL SERVICES,0.05,8/1/2020,5%
ORTHOPEDIC SURGERY,0.04,8/1/2020,4%
PATHOLOGY,0.04,8/1/2020,4%
RADIOLOGY,0.04,8/1/2020,4%
PHARMACY,0.04,8/1/2020,4%
SA SURGERY,0.02,8/1/2020,2%
HOUSE OFFICERS,0.01,8/1/2020,1%
OPHTHALMOLOGY,0.01,8/1/2020,1%
B BARN,0.01,8/1/2020,1%
NUTRITION,0.00,8/1/2020,0%
DERMATOLOGY,0.00,8/1/2020,0%
DERMATOLOGY,0.30,9/1/2020,30%
BIOLOGICAL MEDIA SERVICES,0.19,9/1/2020,19%
SA ULTRASOUND,0.18,9/1/2020,18%
COMMUNITY SURGERY,0.16,9/1/2020,16%
SA INTEGRATIVE MEDICINE,0.14,9/1/2020,14%
CLIENT SERVICES,0.12,9/1/2020,12%
SMALL ANIMAL PATIENT CARE,0.11,9/1/2020,11%
ONCOLOGIES,0.10,9/1/2020,10%
ANESTHESIA,0.10,9/1/2020,10%
SA CARDIOLOGY,0.09,9/1/2020,9%
ORTHOPEDIC SURGERY,0.09,9/1/2020,9%
SA SX SUPPORT,0.09,9/1/2020,9%
LA FEED & BEDDING,0.09,9/1/2020,9%
CENTRAL SERVICE,0.09,9/1/2020,9%
OPHTHALMOLOGY,0.08,9/1/2020,8%
CLINICAL LABORATORIES,0.08,9/1/2020,8%
SA ICU,0.07,9/1/2020,7%
NEURO,0.07,9/1/2020,7%
SA COMMUNITY SERVICE,0.06,9/1/2020,6%
SA MEDICINE,0.05,9/1/2020,5%
LAM - EQUINE,0.05,9/1/2020,5%
PHARMACY,0.05,9/1/2020,5%
PERSONNEL/PAYROLL,0.05,9/1/2020,5%
DENTISTRY,0.04,9/1/2020,4%
B BARN,0.04,9/1/2020,4%
PATHOLOGY,0.04,9/1/2020,4%
FINANCIAL SERVICES,0.04,9/1/2020,4%
SA SURGERY,0.03,9/1/2020,3%
RADIOLOGY,0.03,9/1/2020,3%
LIVESTOCK,0.02,9/1/2020,2%
COMP AVIAN,0.02,9/1/2020,2%
ADMINISTRATION OVERHEAD,0.02,9/1/2020,2%
HOUSE OFFICERS,0.01,9/1/2020,1%
BEHAVIOR,0.00,9/1/2020,0%
NUTRITION,0.00,9/1/2020,0%
SA INTEGRATIVE MEDICINE,0.20,10/1/2020,20%
COMMUNITY SURGERY,0.18,10/1/2020,18%
SA ULTRASOUND,0.18,10/1/2020,18%
CLIENT SERVICES,0.18,10/1/2020,18%
BIOLOGICAL MEDIA SERVICES,0.17,10/1/2020,17%
ANESTHESIA,0.15,10/1/2020,15%
SMALL ANIMAL PATIENT CARE,0.13,10/1/2020,13%
CLINICAL LABORATORIES,0.13,10/1/2020,13%
SA MEDICINE,0.10,10/1/2020,10%
COMP AVIAN,0.10,10/1/2020,10%
LA FEED & BEDDING,0.10,10/1/2020,10%
CENTRAL SERVICE,0.09,10/1/2020,9%
PHARMACY,0.09,10/1/2020,9%
SA CARDIOLOGY,0.08,10/1/2020,8%
SA ICU,0.08,10/1/2020,8%
ONCOLOGIES,0.08,10/1/2020,8%
RADIOLOGY,0.08,10/1/2020,8%
SA SX SUPPORT,0.07,10/1/2020,7%
LIVESTOCK,0.06,10/1/2020,6%
NEURO,0.06,10/1/2020,6%
LAM - EQUINE,0.06,10/1/2020,6%
BEHAVIOR,0.05,10/1/2020,5%
PATHOLOGY,0.05,10/1/2020,5%
DERMATOLOGY,0.05,10/1/2020,5%
SA COMMUNITY SERVICE,0.04,10/1/2020,4%
ORTHOPEDIC SURGERY,0.04,10/1/2020,4%
ADMINISTRATION OVERHEAD,0.04,10/1/2020,4%
FINANCIAL SERVICES,0.04,10/1/2020,4%
DENTISTRY,0.02,10/1/2020,2%
SA SURGERY,0.02,10/1/2020,2%
HOUSE OFFICERS,0.01,10/1/2020,1%
OPHTHALMOLOGY,0.01,10/1/2020,1%
PERSONNEL/PAYROLL,0.01,10/1/2020,1%
NUTRITION,0.00,10/1/2020,0%
B BARN,0.00,10/1/2020,0%
COMMUNITY SURGERY,0.15,11/1/2020,15%
CLIENT SERVICES,0.14,11/1/2020,14%
ANESTHESIA,0.13,11/1/2020,13%
LA FEED & BEDDING,0.13,11/1/2020,13%
BIOLOGICAL MEDIA SERVICES,0.12,11/1/2020,12%
SMALL ANIMAL PATIENT CARE,0.12,11/1/2020,12%
CLINICAL LABORATORIES,0.12,11/1/2020,12%
CENTRAL SERVICE,0.12,11/1/2020,12%
PHARMACY,0.11,11/1/2020,11%
PERSONNEL/PAYROLL,0.11,11/1/2020,11%
SA MEDICINE,0.10,11/1/2020,10%
LIVESTOCK,0.10,11/1/2020,10%
COMP AVIAN,0.10,11/1/2020,10%
SA COMMUNITY SERVICE,0.09,11/1/2020,9%
SA ICU,0.08,11/1/2020,8%
ONCOLOGIES,0.08,11/1/2020,8%
ORTHOPEDIC SURGERY,0.08,11/1/2020,8%
SA SX SUPPORT,0.08,11/1/2020,8%
DENTISTRY,0.07,11/1/2020,7%
SA SURGERY,0.07,11/1/2020,7%
LAM - EQUINE,0.07,11/1/2020,7%
NEURO,0.06,11/1/2020,6%
SA ULTRASOUND,0.06,11/1/2020,6%
SA CARDIOLOGY,0.05,11/1/2020,5%
NUTRITION,0.05,11/1/2020,5%
SA INTEGRATIVE MEDICINE,0.05,11/1/2020,5%
PATHOLOGY,0.04,11/1/2020,4%
RADIOLOGY,0.04,11/1/2020,4%
B BARN,0.03,11/1/2020,3%
ADMINISTRATION OVERHEAD,0.03,11/1/2020,3%
FINANCIAL SERVICES,0.03,11/1/2020,3%
OPHTHALMOLOGY,0.01,11/1/2020,1%
HOUSE OFFICERS,0.00,11/1/2020,0%
BEHAVIOR,0.00,11/1/2020,0%
DERMATOLOGY,0.00,11/1/2020,0%
BIOLOGICAL MEDIA SERVICES,0.40,12/1/2020,40%
PERSONNEL/PAYROLL,0.24,12/1/2020,24%
FINANCIAL SERVICES,0.19,12/1/2020,19%
SA ULTRASOUND,0.18,12/1/2020,18%
CENTRAL SERVICE,0.18,12/1/2020,18%
CLIENT SERVICES,0.18,12/1/2020,18%
SA CARDIOLOGY,0.16,12/1/2020,16%
NEURO,0.16,12/1/2020,16%
ORTHOPEDIC SURGERY,0.16,12/1/2020,16%
ANESTHESIA,0.16,12/1/2020,16%
BEHAVIOR,0.15,12/1/2020,15%
LA FEED & BEDDING,0.15,12/1/2020,15%
DENTISTRY,0.12,12/1/2020,12%
COMMUNITY SURGERY,0.12,12/1/2020,12%
ADMINISTRATION OVERHEAD,0.12,12/1/2020,12%
SA COMMUNITY SERVICE,0.11,12/1/2020,11%
CLINICAL LABORATORIES,0.10,12/1/2020,10%
LIVESTOCK,0.09,12/1/2020,9%
SA ICU,0.09,12/1/2020,9%
SA SURGERY,0.09,12/1/2020,9%
SMALL ANIMAL PATIENT CARE,0.09,12/1/2020,9%
NUTRITION,0.08,12/1/2020,8%
B BARN,0.08,12/1/2020,8%
SA MEDICINE,0.07,12/1/2020,7%
PATHOLOGY,0.07,12/1/2020,7%
PHARMACY,0.07,12/1/2020,7%
SA INTEGRATIVE MEDICINE,0.06,12/1/2020,6%
LAM - EQUINE,0.06,12/1/2020,6%
ONCOLOGIES,0.05,12/1/2020,5%
COMP AVIAN,0.05,12/1/2020,5%
OPHTHALMOLOGY,0.04,12/1/2020,4%
SA SX SUPPORT,0.04,12/1/2020,4%
RADIOLOGY,0.04,12/1/2020,4%
HOUSE OFFICERS,0.00,12/1/2020,0%
DERMATOLOGY,0.00,12/1/2020,0%
BIOLOGICAL MEDIA SERVICES,0.21,1/1/2021,21%
CLIENT SERVICES,0.16,1/1/2021,16%
LA FEED & BEDDING,0.15,1/1/2021,15%
ANESTHESIA,0.11,1/1/2021,11%
CLINICAL LABORATORIES,0.11,1/1/2021,11%
SA ULTRASOUND,0.11,1/1/2021,11%
SA ICU,0.09,1/1/2021,9%
ORTHOPEDIC SURGERY,0.09,1/1/2021,9%
SMALL ANIMAL PATIENT CARE,0.09,1/1/2021,9%
COMMUNITY SURGERY,0.08,1/1/2021,8%
SA SX SUPPORT,0.07,1/1/2021,7%
SA MEDICINE,0.06,1/1/2021,6%
LIVESTOCK,0.06,1/1/2021,6%
SA SURGERY,0.06,1/1/2021,6%
SA CARDIOLOGY,0.05,1/1/2021,5%
SA COMMUNITY SERVICE,0.05,1/1/2021,5%
RADIOLOGY,0.05,1/1/2021,5%
CENTRAL SERVICE,0.05,1/1/2021,5%
FINANCIAL SERVICES,0.05,1/1/2021,5%
DENTISTRY,0.04,1/1/2021,4%
ONCOLOGIES,0.04,1/1/2021,4%
LAM - EQUINE,0.04,1/1/2021,4%
PATHOLOGY,0.04,1/1/2021,4%
PHARMACY,0.04,1/1/2021,4%
PERSONNEL/PAYROLL,0.04,1/1/2021,4%
COMP AVIAN,0.03,1/1/2021,3%
B BARN,0.03,1/1/2021,3%
NEURO,0.02,1/1/2021,2%
ADMINISTRATION OVERHEAD,0.01,1/1/2021,1%
HOUSE OFFICERS,0.00,1/1/2021,0%
BEHAVIOR,0.00,1/1/2021,0%
NUTRITION,0.00,1/1/2021,0%
OPHTHALMOLOGY,0.00,1/1/2021,0%
SA INTEGRATIVE MEDICINE,0.00,1/1/2021,0%
DERMATOLOGY,0.00,1/1/2021,0%
CLIENT SERVICES,0.14,2/1/2021,14%
SA SX SUPPORT,0.12,2/1/2021,12%
CLINICAL LABORATORIES,0.12,2/1/2021,12%
SMALL ANIMAL PATIENT CARE,0.11,2/1/2021,11%
RADIOLOGY,0.10,2/1/2021,10%
SA ICU,0.09,2/1/2021,9%
ANESTHESIA,0.09,2/1/2021,9%
LA FEED & BEDDING,0.09,2/1/2021,9%
NEURO,0.08,2/1/2021,8%
LIVESTOCK,0.07,2/1/2021,7%
ORTHOPEDIC SURGERY,0.07,2/1/2021,7%
SA SURGERY,0.07,2/1/2021,7%
SA MEDICINE,0.06,2/1/2021,6%
SA CARDIOLOGY,0.06,2/1/2021,6%
LAM - EQUINE,0.06,2/1/2021,6%
FINANCIAL SERVICES,0.06,2/1/2021,6%
COMMUNITY SURGERY,0.05,2/1/2021,5%
COMP AVIAN,0.05,2/1/2021,5%
PATHOLOGY,0.05,2/1/2021,5%
CENTRAL SERVICE,0.05,2/1/2021,5%
BIOLOGICAL MEDIA SERVICES,0.04,2/1/2021,4%
BEHAVIOR,0.04,2/1/2021,4%
SA COMMUNITY SERVICE,0.04,2/1/2021,4%
PHARMACY,0.04,2/1/2021,4%
PERSONNEL/PAYROLL,0.04,2/1/2021,4%
ONCOLOGIES,0.03,2/1/2021,3%
ADMINISTRATION OVERHEAD,0.03,2/1/2021,3%
SA INTEGRATIVE MEDICINE,0.02,2/1/2021,2%
OPHTHALMOLOGY,0.01,2/1/2021,1%
HOUSE OFFICERS,0.00,2/1/2021,0%
DENTISTRY,0.00,2/1/2021,0%
NUTRITION,0.00,2/1/2021,0%
B BARN,0.00,2/1/2021,0%
SA ULTRASOUND,0.00,2/1/2021,0%
DERMATOLOGY,0.00,2/1/2021,0%
LA FEED & BEDDING,0.19,3/1/2021,19%
SA SX SUPPORT,0.14,3/1/2021,14%
CLIENT SERVICES,0.14,3/1/2021,14%
DERMATOLOGY,0.14,3/1/2021,14%
SA ICU,0.12,3/1/2021,12%
ANESTHESIA,0.12,3/1/2021,12%
COMMUNITY SURGERY,0.11,3/1/2021,11%
PATHOLOGY,0.11,3/1/2021,11%
SMALL ANIMAL PATIENT CARE,0.09,3/1/2021,9%
SA ULTRASOUND,0.09,3/1/2021,9%
SA SURGERY,0.08,3/1/2021,8%
CENTRAL SERVICE,0.08,3/1/2021,8%
BIOLOGICAL MEDIA SERVICES,0.07,3/1/2021,7%
SA CARDIOLOGY,0.07,3/1/2021,7%
ORTHOPEDIC SURGERY,0.07,3/1/2021,7%
COMP AVIAN,0.07,3/1/2021,7%
PHARMACY,0.07,3/1/2021,7%
FINANCIAL SERVICES,0.07,3/1/2021,7%
SA MEDICINE,0.06,3/1/2021,6%
NEURO,0.06,3/1/2021,6%
CLINICAL LABORATORIES,0.06,3/1/2021,6%
LAM - EQUINE,0.05,3/1/2021,5%
RADIOLOGY,0.05,3/1/2021,5%
NUTRITION,0.04,3/1/2021,4%
ONCOLOGIES,0.04,3/1/2021,4%
OPHTHALMOLOGY,0.04,3/1/2021,4%
B BARN,0.04,3/1/2021,4%
SA INTEGRATIVE MEDICINE,0.03,3/1/2021,3%
SA COMMUNITY SERVICE,0.03,3/1/2021,3%
ADMINISTRATION OVERHEAD,0.03,3/1/2021,3%
LIVESTOCK,0.02,3/1/2021,2%
BEHAVIOR,0.02,3/1/2021,2%
HOUSE OFFICERS,0.00,3/1/2021,0%
DENTISTRY,0.00,3/1/2021,0%
PERSONNEL/PAYROLL,0.00,3/1/2021,0%
DERMATOLOGY,0.23,4/1/2021,23%
LA FEED & BEDDING,0.21,4/1/2021,21%
SA SX SUPPORT,0.20,4/1/2021,20%
COMMUNITY SURGERY,0.16,4/1/2021,16%
BIOLOGICAL MEDIA SERVICES,0.14,4/1/2021,14%
SA CARDIOLOGY,0.12,4/1/2021,12%
NEURO,0.12,4/1/2021,12%
CENTRAL SERVICE,0.12,4/1/2021,12%
NUTRITION,0.10,4/1/2021,10%
ANESTHESIA,0.10,4/1/2021,10%
CLINICAL LABORATORIES,0.10,4/1/2021,10%
PATHOLOGY,0.10,4/1/2021,10%
CLIENT SERVICES,0.10,4/1/2021,10%
LIVESTOCK,0.09,4/1/2021,9%
SA ULTRASOUND,0.09,4/1/2021,9%
DENTISTRY,0.08,4/1/2021,8%
SMALL ANIMAL PATIENT CARE,0.08,4/1/2021,8%
RADIOLOGY,0.08,4/1/2021,8%
FINANCIAL SERVICES,0.08,4/1/2021,8%
SA ICU,0.07,4/1/2021,7%
SA COMMUNITY SERVICE,0.07,4/1/2021,7%
LAM - EQUINE,0.07,4/1/2021,7%
SA SURGERY,0.06,4/1/2021,6%
ADMINISTRATION OVERHEAD,0.06,4/1/2021,6%
SA INTEGRATIVE MEDICINE,0.05,4/1/2021,5%
COMP AVIAN,0.05,4/1/2021,5%
PHARMACY,0.05,4/1/2021,5%
PERSONNEL/PAYROLL,0.05,4/1/2021,5%
SA MEDICINE,0.04,4/1/2021,4%
